gt,pred,score
Bagging,Bagging,0.963447
Bagging,Bagging,0.534498
Bagging,Bagging,0.988476
Bagging,Bagging,0.987661
Bagging,Bagging,0.977949
Bagging,Bagging,0.734055
Bagging,Bagging,0.957431
Bagging,Bagging,0.798927
Bagging,Bagging,0.989005
Bagging,Bagging,0.594145
Bagging,Bagging,0.996044
Bagging,Bagging,0.993675
Bagging,Bagging,0.967046
Bagging,Bagging,0.846517
Bagging,Bagging,0.951409
Bagging,Bagging,0.900498
Bagging,Bagging,0.971242
Bagging,Bagging,0.787969
Bagging,Bagging,0.955211
Bagging,Bagging,0.632726
Bagging,Bagging,0.55452
Bagging,Bagging,0.99941
Bagging,Bagging,0.573419
Bagging,Bagging,0.956554
Bagging,Bagging,0.905366
Bagging,Bagging,0.528625
Bagging,Bagging,0.955331
Bagging,Bagging,0.952741
Bagging,Bagging,0.792375
Bagging,Bagging,0.920396
Bagging,Bagging,0.704304
Bagging,Bagging,0.825653
Bagging,Bagging,0.930759
Bagging,Bagging,0.85417
Bagging,Bagging,0.989189
Bagging,Bagging,0.997254
Bagging,Bagging,0.938213
Bagging,Bagging,0.775045
Bagging,Bagging,0.911728
Bagging,Bagging,0.959168
Bagging,Bagging,0.992235
Bagging,Bagging,0.995416
Bagging,Bagging,0.924396
Bagging,Bagging,0.947415
Bagging,Bagging,0.4746
Bagging,Bagging,0.591938
Bagging,Bagging,0.960645
Bagging,Bagging,0.956504
Bagging,Bagging,0.991998
Bagging,Bagging,0.965729
Bagging,Bagging,0.930773
Bagging,Bagging,0.886848
Bagging,Bagging,0.974227
Bagging,Bagging,0.973686
Bagging,Bagging,0.850711
Bagging,Bagging,0.965051
Bagging,Bagging,0.999184
Bagging,Bagging,0.918429
Bagging,Bagging,0.783249
Bagging,Bagging,0.983421
Bagging,Bagging,0.930369
Bagging,Bagging,0.717652
Bagging,Bagging,0.995179
Bagging,Bagging,0.949736
Bagging,Bagging,0.959018
Bagging,Bagging,0.523287
Bagging,Bagging,0.912146
Bagging,Bagging,0.922246
Bagging,Bagging,0.984604
Bagging,Bagging,0.983922
Bagging,Bagging,0.899403
Bagging,Bagging,0.86885
Bagging,Bagging,0.958102
Bagging,Bagging,0.927134
Bagging,Bagging,0.968688
Bagging,Bagging,0.896624
Bagging,Bagging,0.988023
Bagging,Bagging,0.971995
Bagging,Bagging,0.970237
Bagging,Bagging,0.966514
Bagging,Bagging,0.971012
Bagging,Bagging,0.63614
Bagging,Bagging,0.895173
Bagging,Bagging,0.531703
Bagging,Bagging,0.990785
Bagging,Bagging,0.995796
Bagging,Bagging,0.905117
Bagging,Bagging,0.891712
Bagging,Bagging,0.989634
Bagging,Bagging,0.855583
Bagging,Bagging,0.989903
Bagging,Bagging,0.955657
Bagging,Bagging,0.944803
Bagging,Bagging,0.98494
