gt,pred,score
cat,cat,0.639469
ship,ship,0.963447
ship,ship,0.534498
plane,ship,0.822743
frog,deer,0.518615
frog,frog,0.296026
car,cat,0.422535
frog,deer,0.288886
cat,cat,0.534045
car,car,0.991922
plane,plane,0.485787
truck,truck,0.823465
dog,dog,0.39404
horse,horse,0.989416
truck,truck,0.851546
ship,deer,0.364755
dog,cat,0.865945
horse,deer,0.505486
ship,ship,0.997738
frog,car,0.443605
horse,horse,0.861487
plane,bird,0.501463
deer,deer,0.660572
truck,truck,0.992423
dog,bird,0.493161
bird,deer,0.693339
deer,deer,0.898441
plane,plane,0.549316
truck,truck,0.713688
frog,frog,0.958755
frog,cat,0.38454
dog,deer,0.513311
deer,ship,0.736662
dog,dog,0.671343
truck,truck,0.76446
bird,cat,0.380287
deer,horse,0.725377
car,car,0.816027
truck,truck,0.592196
dog,dog,0.810076
deer,deer,0.773925
frog,frog,0.949408
dog,dog,0.36942
frog,frog,0.779381
plane,plane,0.662862
truck,truck,0.94848
cat,cat,0.491516
truck,truck,0.852877
horse,horse,0.979185
frog,deer,0.437826
truck,truck,0.577537
ship,deer,0.56151
plane,horse,0.611116
cat,cat,0.407765
ship,ship,0.963325
ship,ship,0.919665
horse,horse,0.862373
horse,dog,0.471056
deer,cat,0.352305
frog,deer,0.541399
horse,horse,0.978464
cat,cat,0.474391
frog,horse,0.3277
cat,plane,0.459633
frog,frog,0.609402
bird,bird,0.822477
car,ship,0.71666
bird,plane,0.929448
cat,cat,0.458204
horse,horse,0.851275
bird,bird,0.519532
frog,cat,0.463792
ship,ship,0.986769
ship,ship,0.994558
plane,plane,0.615903
bird,bird,0.815195
truck,bird,0.493906
cat,cat,0.754642
cat,cat,0.487924
ship,ship,0.997272
ship,ship,0.954118
car,truck,0.584455
car,car,0.816751
horse,horse,0.734688
bird,bird,0.334472
dog,horse,0.953218
bird,bird,0.292492
horse,ship,0.71527
ship,ship,0.928138
truck,truck,0.916263
plane,plane,0.881285
cat,deer,0.382859
ship,ship,0.638855
frog,frog,0.481462
deer,deer,0.605118
frog,frog,0.759896
frog,frog,0.983028
plane,plane,0.33836
plane,plane,0.993088
horse,cat,0.386289
deer,dog,0.324074
dog,bird,0.290657
frog,frog,0.731369
cat,cat,0.70324
car,car,0.998779
car,car,0.719047
cat,cat,0.595398
frog,frog,0.910065
ship,cat,0.289488
horse,dog,0.705107
deer,deer,0.411977
plane,plane,0.967395
frog,frog,0.417919
bird,bird,0.966034
car,truck,0.812064
cat,horse,0.485689
plane,plane,0.873284
deer,deer,0.334676
bird,bird,0.286414
horse,frog,0.404777
ship,plane,0.808089
cat,cat,0.391358
car,car,0.411385
bird,bird,0.785935
ship,plane,0.521677
plane,truck,0.663062
ship,deer,0.476531
cat,cat,0.477719
dog,dog,0.719975
bird,plane,0.60561
deer,deer,0.602403
car,car,0.616305
ship,plane,0.542764
truck,truck,0.99943
car,truck,0.478522
bird,dog,0.432056
truck,truck,0.515983
horse,horse,0.971797
bird,bird,0.863474
truck,ship,0.931014
frog,frog,0.461182
dog,horse,0.727664
frog,frog,0.742859
cat,cat,0.349632
ship,ship,0.872375
horse,horse,0.366428
frog,frog,0.571393
bird,dog,0.774733
dog,horse,0.603057
bird,horse,0.412711
ship,plane,0.764457
truck,car,0.231873
frog,cat,0.406685
plane,truck,0.358709
plane,plane,0.757291
dog,cat,0.462894
bird,bird,0.402835
truck,truck,0.784173
dog,cat,0.79631
deer,deer,0.946008
bird,bird,0.690983
car,car,0.932626
frog,deer,0.546406
frog,deer,0.553521
ship,ship,0.52339
deer,deer,0.667937
ship,ship,0.824839
deer,deer,0.539589
dog,horse,0.405731
plane,plane,0.397102
truck,truck,0.37998
truck,truck,0.272142
truck,car,0.210213
ship,ship,0.989295
truck,truck,0.227259
truck,truck,0.998336
cat,ship,0.342111
horse,horse,0.938975
dog,deer,0.299308
plane,plane,0.371654
plane,ship,0.62742
dog,dog,0.813831
bird,frog,0.674038
bird,cat,0.249139
cat,plane,0.312166
ship,ship,0.977456
frog,horse,0.472993
cat,cat,0.350386
deer,cat,0.356905
plane,ship,0.435181
dog,dog,0.379518
ship,ship,0.319438
plane,plane,0.514885
car,car,0.479691
horse,horse,0.528616
bird,deer,0.831593
ship,ship,0.802844
ship,cat,0.651483
horse,horse,0.4273
ship,ship,0.796518
dog,cat,0.515469
car,plane,0.371349
ship,ship,0.969262
horse,truck,0.408115
car,car,0.959581
cat,cat,0.570295
plane,plane,0.954492
dog,dog,0.736276
horse,dog,0.627428
truck,ship,0.533227
horse,dog,0.512076
deer,car,0.50622
dog,bird,0.258385
truck,horse,0.842467
ship,ship,0.557895
plane,bird,0.305001
horse,plane,0.871342
truck,truck,0.994519
ship,plane,0.740762
bird,deer,0.443704
horse,horse,0.83721
frog,cat,0.708861
truck,truck,0.916657
deer,cat,0.424829
cat,cat,0.829275
truck,truck,0.943925
frog,frog,0.381402
deer,plane,0.38797
horse,cat,0.522165
frog,deer,0.268907
dog,cat,0.621611
car,car,0.525685
dog,car,0.50827
ship,car,0.624835
ship,ship,0.871419
plane,plane,0.999954
deer,deer,0.758964
plane,plane,0.407974
dog,frog,0.724835
dog,cat,0.646657
car,car,0.999622
car,car,0.633061
ship,car,0.532924
truck,truck,0.835952
plane,plane,0.773263
cat,ship,0.401133
car,car,0.607632
truck,ship,0.784261
bird,bird,0.90598
bird,plane,0.553374
dog,horse,0.831625
cat,dog,0.588151
truck,truck,0.999287
truck,truck,0.798865
deer,dog,0.277284
plane,ship,0.355605
cat,cat,0.56926
plane,plane,0.868078
plane,ship,0.943834
truck,car,0.954063
ship,ship,0.617367
car,truck,0.711973
dog,cat,0.427814
horse,cat,0.56735
plane,plane,0.800062
ship,ship,0.983254
bird,cat,0.400305
deer,deer,0.959185
horse,horse,0.996813
plane,bird,0.415064
bird,deer,0.480201
cat,bird,0.586616
frog,frog,0.75992
cat,dog,0.382255
ship,ship,0.854519
dog,bird,0.615267
plane,plane,0.913443
cat,deer,0.280257
deer,bird,0.269346
cat,dog,0.45009
truck,ship,0.632665
plane,car,0.51036
frog,frog,0.404706
car,car,0.999809
plane,plane,0.50013
truck,truck,0.998947
car,car,0.911789
plane,ship,0.877059
horse,horse,0.980802
truck,plane,0.434641
car,car,0.997058
bird,bird,0.859418
frog,frog,0.94226
truck,truck,0.599088
cat,cat,0.483799
deer,bird,0.774308
frog,frog,0.99838
plane,plane,0.980881
plane,plane,0.636638
frog,frog,0.961251
frog,frog,0.921024
frog,frog,0.361742
cat,cat,0.379665
bird,truck,0.379279
frog,frog,0.691158
car,car,0.649563
ship,truck,0.75858
bird,bird,0.743002
car,truck,0.889069
frog,deer,0.489353
ship,ship,0.90425
frog,frog,0.99762
ship,plane,0.6989
plane,cat,0.252812
deer,deer,0.357625
plane,bird,0.599516
horse,horse,0.533932
horse,horse,0.600205
dog,dog,0.925253
dog,dog,0.696881
cat,cat,0.465346
dog,dog,0.438857
bird,bird,0.429304
cat,cat,0.38139
deer,dog,0.432015
car,car,0.414887
horse,horse,0.833486
dog,cat,0.392565
deer,deer,0.505478
frog,frog,0.98458
car,car,0.985821
truck,truck,0.884663
cat,deer,0.456524
frog,frog,0.994825
frog,frog,0.938926
truck,truck,0.327654
cat,cat,0.475546
ship,ship,0.885072
plane,plane,0.32985
horse,horse,0.998717
bird,bird,0.237944
frog,frog,0.652368
bird,bird,0.716412
dog,horse,0.621014
ship,plane,0.742043
dog,dog,0.83653
deer,horse,0.573528
frog,frog,0.826941
ship,ship,0.996274
truck,car,0.772116
