gt,pred,score
CheckVitals,CheckVitals,0.639469
Bagging,Bagging,0.963447
Bagging,Bagging,0.534498
BloodPressureCuff,Bagging,0.822743
WrapWound,OralAirway,0.518615
WrapWound,WrapWound,0.296026
CPR,CheckVitals,0.422535
WrapWound,OralAirway,0.288886
CheckVitals,CheckVitals,0.534045
CPR,CPR,0.991922
BloodPressureCuff,BloodPressureCuff,0.485787
Tourniquet,Tourniquet,0.823465
ChestTube,ChestTube,0.39404
PlaceIV,PlaceIV,0.989416
Tourniquet,Tourniquet,0.851546
Bagging,OralAirway,0.364755
ChestTube,CheckVitals,0.865945
PlaceIV,OralAirway,0.505486
Bagging,Bagging,0.997738
WrapWound,CPR,0.443605
PlaceIV,PlaceIV,0.861487
BloodPressureCuff,Intubation,0.501463
OralAirway,OralAirway,0.660572
Tourniquet,Tourniquet,0.992423
ChestTube,Intubation,0.493161
Intubation,OralAirway,0.693339
OralAirway,OralAirway,0.898441
BloodPressureCuff,BloodPressureCuff,0.549316
Tourniquet,Tourniquet,0.713688
WrapWound,WrapWound,0.958755
WrapWound,CheckVitals,0.38454
ChestTube,OralAirway,0.513311
OralAirway,Bagging,0.736662
ChestTube,ChestTube,0.671343
Tourniquet,Tourniquet,0.76446
Intubation,CheckVitals,0.380287
OralAirway,PlaceIV,0.725377
CPR,CPR,0.816027
Tourniquet,Tourniquet,0.592196
ChestTube,ChestTube,0.810076
OralAirway,OralAirway,0.773925
WrapWound,WrapWound,0.949408
ChestTube,ChestTube,0.36942
WrapWound,WrapWound,0.779381
BloodPressureCuff,BloodPressureCuff,0.662862
Tourniquet,Tourniquet,0.94848
CheckVitals,CheckVitals,0.491516
Tourniquet,Tourniquet,0.852877
PlaceIV,PlaceIV,0.979185
WrapWound,OralAirway,0.437826
Tourniquet,Tourniquet,0.577537
Bagging,OralAirway,0.56151
BloodPressureCuff,PlaceIV,0.611116
CheckVitals,CheckVitals,0.407765
Bagging,Bagging,0.963325
Bagging,Bagging,0.919665
PlaceIV,PlaceIV,0.862373
PlaceIV,ChestTube,0.471056
OralAirway,CheckVitals,0.352305
WrapWound,OralAirway,0.541399
PlaceIV,PlaceIV,0.978464
CheckVitals,CheckVitals,0.474391
WrapWound,PlaceIV,0.3277
CheckVitals,BloodPressureCuff,0.459633
WrapWound,WrapWound,0.609402
Intubation,Intubation,0.822477
CPR,Bagging,0.71666
Intubation,BloodPressureCuff,0.929448
CheckVitals,CheckVitals,0.458204
PlaceIV,PlaceIV,0.851275
Intubation,Intubation,0.519532
WrapWound,CheckVitals,0.463792
Bagging,Bagging,0.986769
Bagging,Bagging,0.994558
BloodPressureCuff,BloodPressureCuff,0.615903
Intubation,Intubation,0.815195
Tourniquet,Intubation,0.493906
CheckVitals,CheckVitals,0.754642
CheckVitals,CheckVitals,0.487924
Bagging,Bagging,0.997272
Bagging,Bagging,0.954118
CPR,Tourniquet,0.584455
CPR,CPR,0.816751
PlaceIV,PlaceIV,0.734688
Intubation,Intubation,0.334472
ChestTube,PlaceIV,0.953218
Intubation,Intubation,0.292492
PlaceIV,Bagging,0.71527
Bagging,Bagging,0.928138
Tourniquet,Tourniquet,0.916263
BloodPressureCuff,BloodPressureCuff,0.881285
CheckVitals,OralAirway,0.382859
Bagging,Bagging,0.638855
WrapWound,WrapWound,0.481462
OralAirway,OralAirway,0.605118
WrapWound,WrapWound,0.759896
WrapWound,WrapWound,0.983028
BloodPressureCuff,BloodPressureCuff,0.33836
BloodPressureCuff,BloodPressureCuff,0.993088
PlaceIV,CheckVitals,0.386289
OralAirway,ChestTube,0.324074
ChestTube,Intubation,0.290657
WrapWound,WrapWound,0.731369
CheckVitals,CheckVitals,0.70324
CPR,CPR,0.998779
CPR,CPR,0.719047
CheckVitals,CheckVitals,0.595398
WrapWound,WrapWound,0.910065
Bagging,CheckVitals,0.289488
PlaceIV,ChestTube,0.705107
OralAirway,OralAirway,0.411977
BloodPressureCuff,BloodPressureCuff,0.967395
WrapWound,WrapWound,0.417919
Intubation,Intubation,0.966034
CPR,Tourniquet,0.812064
