gt,pred,score
Bagging,Bagging,0.963447
Bagging,Bagging,0.534498
Bagging,Bagging,0.997738
Bagging,Bagging,0.963325
Bagging,Bagging,0.977456
Bagging,Bagging,0.319438
Bagging,Bagging,0.802844
Bagging,Bagging,0.796518
Bagging,Bagging,0.969262
Bagging,Bagging,0.557895
Bagging,Bagging,0.871419
Bagging,Bagging,0.617367
Bagging,Bagging,0.983254
Bagging,Bagging,0.854519
Bagging,Bagging,0.90425
Bagging,Bagging,0.885072
Bagging,Bagging,0.996274
Bagging,Bagging,0.995638
Bagging,Bagging,0.676088
Bagging,Bagging,0.850729
Bagging,Bagging,0.722313
Bagging,Bagging,0.416418
Bagging,Bagging,0.920378
Bagging,Bagging,0.533189
Bagging,Bagging,0.948883
Bagging,Bagging,0.53766
Bagging,Bagging,0.988476
Bagging,Bagging,0.987661
Bagging,Bagging,0.977949
Bagging,Bagging,0.734055
Bagging,Bagging,0.957431
Bagging,Bagging,0.798927
Bagging,Bagging,0.989005
Bagging,Bagging,0.594145
Bagging,Bagging,0.996044
Bagging,Bagging,0.993675
Bagging,Bagging,0.526328
Bagging,Bagging,0.974565
Bagging,Bagging,0.95402
Bagging,Bagging,0.982447
Bagging,Bagging,0.864375
Bagging,Bagging,0.591248
Bagging,Bagging,0.989566
Bagging,Bagging,0.578902
Bagging,Bagging,0.604568
Bagging,Bagging,0.914737
Bagging,Bagging,0.961689
Bagging,Bagging,0.990381
Bagging,Bagging,0.952646
Bagging,Bagging,0.888917
Bagging,Bagging,0.517033
Bagging,Bagging,0.694034
Bagging,Bagging,0.919876
Bagging,Bagging,0.981662
Bagging,Bagging,0.962898
Bagging,Bagging,0.897494
Bagging,Bagging,0.80624
Bagging,Bagging,0.967612
Bagging,Bagging,0.925233
Bagging,Bagging,0.965776
Bagging,Bagging,0.967046
Bagging,Bagging,0.846517
Bagging,Bagging,0.951409
Bagging,Bagging,0.900498
Bagging,Bagging,0.614814
Bagging,Bagging,0.589061
Bagging,Bagging,0.994593
Bagging,Bagging,0.922371
Bagging,Bagging,0.997335
Bagging,Bagging,0.998734
Bagging,Bagging,0.971242
Bagging,Bagging,0.787969
Bagging,Bagging,0.955211
Bagging,Bagging,0.632726
Bagging,Bagging,0.55452
Bagging,Bagging,0.99941
Bagging,Bagging,0.573419
Bagging,Bagging,0.956554
Bagging,Bagging,0.905366
Bagging,Bagging,0.528625
Bagging,Bagging,0.955331
Bagging,Bagging,0.952741
Bagging,Bagging,0.792375
Bagging,Bagging,0.920396
Bagging,Bagging,0.704304
Bagging,Bagging,0.825653
Bagging,Bagging,0.930759
Bagging,Bagging,0.85417
Bagging,Bagging,0.607697
Bagging,Bagging,0.992565
Bagging,Bagging,0.825135
Bagging,Bagging,0.976283
Bagging,Bagging,0.973858
Bagging,Bagging,0.869148
