gt,pred,score
Administer IM Medication,ECG Leads,0.639469
Administer IM Medication,Administer IM Medication,0.963447
Administer IM Medication,CPR,0.534498
Administer IM Medication,CPR,0.822743
Administer IM Medication,ECG Leads,0.518615
Administer IM Medication,CPR,0.296026
Administer IM Medication,ECG Leads,0.422535
Administer IM Medication,Administer IM Medication,0.288886
Administer IM Medication,Bagging,0.534045
Administer IM Medication,Administer IM Medication,0.991922
Administer IM Medication,Bagging,0.485787
Administer IM Medication,Administer IM Medication,0.823465
Administer IM Medication,Administer IM Medication,0.39404
Administer IM Medication,Chest-Tube,0.989416
Administer IM Medication,Administer IM Medication,0.851546
Administer IM Medication,Chest-Tube,0.364755
Administer IM Medication,Bagging,0.865945
Administer IM Medication,Bagging,0.505486
Administer IM Medication,Administer IM Medication,0.997738
Administer IM Medication,CPR,0.443605
Administer IM Medication,Chest-Tube,0.861487
Administer IM Medication,ECG Leads,0.501463
Administer IM Medication,Chest-Tube,0.660572
Administer IM Medication,Bagging,0.992423
Administer IM Medication,Bagging,0.493161
Administer IM Medication,Bagging,0.693339
Administer IM Medication,Administer IO Medication,0.898441
Administer IM Medication,Administer IM Medication,0.549316
Administer IM Medication,Administer IO Medication,0.713688
Administer IM Medication,ECG Leads,0.958755
Administer IM Medication,Bagging,0.38454
Administer IM Medication,Chest-Tube,0.513311
Administer IM Medication,Bagging,0.736662
Administer IM Medication,Bagging,0.671343
Administer IM Medication,Administer IM Medication,0.76446
Administer IM Medication,Bagging,0.380287
Administer IM Medication,Bagging,0.725377
Administer IM Medication,Administer IM Medication,0.816027
Administer IM Medication,Administer IM Medication,0.592196
Administer IM Medication,ECG Leads,0.810076
Administer IM Medication,Bagging,0.773925
Administer IM Medication,CPR,0.949408
Administer IM Medication,Bagging,0.36942
Administer IM Medication,Chest-Tube,0.779381
Administer IM Medication,CPR,0.662862
Administer IM Medication,CPR,0.94848
Administer IM Medication,Chest-Tube,0.491516
Administer IM Medication,Bagging,0.852877
Administer IM Medication,Bagging,0.979185
Administer IM Medication,Administer IO Medication,0.437826
Administer IM Medication,Administer IO Medication,0.577537
Administer IM Medication,Bagging,0.56151
Administer IM Medication,Bagging,0.611116
Administer IM Medication,Bagging,0.407765
Administer IM Medication,Administer IM Medication,0.963325
Administer IM Medication,Bagging,0.919665
Administer IM Medication,Bagging,0.862373
Administer IM Medication,CPR,0.471056
Administer IM Medication,ECG Leads,0.352305
Administer IM Medication,CPR,0.541399
Administer IM Medication,Administer IM Medication,0.978464
Administer IM Medication,Bagging,0.474391
Administer IM Medication,Administer IM Medication,0.3277
Administer IM Medication,Administer IM Medication,0.459633
Administer IM Medication,Chest-Tube,0.609402
Administer IM Medication,Administer IO Medication,0.822477
Administer IM Medication,Bagging,0.71666
Administer IM Medication,CPR,0.929448
Administer IM Medication,Chest-Tube,0.458204
Administer IM Medication,CPR,0.851275
Administer IM Medication,Administer IM Medication,0.519532
Administer IM Medication,Bagging,0.463792
Administer IM Medication,Chest-Tube,0.986769
Administer IM Medication,Administer IM Medication,0.994558
Administer IM Medication,ECG Leads,0.615903
Administer IM Medication,Administer IM Medication,0.815195
Administer IM Medication,Bagging,0.493906
Administer IM Medication,Administer IO Medication,0.754642
Administer IM Medication,ECG Leads,0.487924
Administer IM Medication,Chest-Tube,0.997272
Administer IM Medication,Bagging,0.954118
Administer IM Medication,Bagging,0.584455
Administer IM Medication,ECG Leads,0.816751
Administer IM Medication,Administer IM Medication,0.734688
Administer IM Medication,Bagging,0.334472
Administer IM Medication,Administer IO Medication,0.953218
Administer IM Medication,Administer IM Medication,0.292492
Administer IM Medication,Bagging,0.71527
Administer IM Medication,Bagging,0.928138
Administer IM Medication,CPR,0.916263
Administer IM Medication,ECG Leads,0.881285
Administer IM Medication,Chest-Tube,0.382859
Administer IM Medication,Chest-Tube,0.638855
Administer IM Medication,Administer IM Medication,0.481462
Administer IM Medication,Chest-Tube,0.605118
Administer IM Medication,Administer IM Medication,0.759896
Administer IM Medication,Chest-Tube,0.983028
Administer IM Medication,Bagging,0.33836
Administer IM Medication,Administer IM Medication,0.993088
Administer IM Medication,Bagging,0.386289
Administer IM Medication,Bagging,0.324074
Administer IM Medication,Administer IM Medication,0.290657
Administer IM Medication,Combat Gauze,0.731369
Administer IM Medication,Bagging,0.70324
Administer IM Medication,Administer IO Medication,0.998779
Administer IM Medication,ECG Leads,0.719047
Administer IM Medication,Administer IM Medication,0.595398
Administer IM Medication,Administer IM Medication,0.910065
Administer IM Medication,ECG Leads,0.289488
Administer IM Medication,Bagging,0.705107
Administer IM Medication,Chest-Tube,0.411977
Administer IM Medication,Combat Tourniquet,0.967395
Administer IM Medication,Combat Tourniquet,0.417919
Administer IM Medication,Chest-Tube,0.966034
Administer IM Medication,CPR,0.812064
Administer IM Medication,Combat Gauze,0.485689
Administer IM Medication,Bagging,0.873284
Administer IM Medication,Administer IM Medication,0.334676
Administer IM Medication,Administer IM Medication,0.286414
Administer IM Medication,Chest-Tube,0.404777
Administer IM Medication,CPR,0.808089
Administer IM Medication,Bagging,0.391358
Administer IM Medication,Bagging,0.411385
Administer IM Medication,Administer IM Medication,0.785935
Administer IM Medication,Chest-Tube,0.521677
Administer IM Medication,Bagging,0.663062
Administer IM Medication,Administer IO Medication,0.476531
Administer IM Medication,Combat Gauze,0.477719
Administer IM Medication,Combat Gauze,0.719975
Administer IM Medication,CPR,0.60561
Administer IM Medication,CPR,0.602403
Administer IM Medication,Administer IM Medication,0.616305
Administer IM Medication,Administer IM Medication,0.542764
Administer IM Medication,Bagging,0.99943
Administer IM Medication,Bagging,0.478522
Administer IM Medication,Bagging,0.432056
Administer IM Medication,Administer IM Medication,0.515983
Administer IM Medication,Chest-Tube,0.971797
Administer IM Medication,CPR,0.863474
Administer IM Medication,CPR,0.931014
Administer IM Medication,Administer IM Medication,0.461182
Administer IM Medication,Administer IO Medication,0.727664
Administer IM Medication,Administer IM Medication,0.742859
Administer IM Medication,Administer IO Medication,0.349632
Administer IM Medication,Bagging,0.872375
Administer IM Medication,Bagging,0.366428
Administer IM Medication,Bagging,0.571393
Administer IM Medication,Administer IM Medication,0.774733
Administer IM Medication,Bagging,0.603057
Administer IM Medication,ECG Leads,0.412711
Administer IM Medication,Administer IM Medication,0.764457
Administer IM Medication,CPR,0.231873
Administer IM Medication,Administer IM Medication,0.406685
Administer IM Medication,Bagging,0.358709
Administer IM Medication,ECG Leads,0.757291
Administer IM Medication,Bagging,0.462894
Administer IM Medication,Administer IM Medication,0.402835
Administer IM Medication,Administer IM Medication,0.784173
Administer IM Medication,Bagging,0.79631
Administer IM Medication,Chest-Tube,0.946008
Administer IM Medication,CPR,0.690983
Administer IM Medication,CPR,0.932626
Administer IM Medication,Bagging,0.546406
Administer IM Medication,Administer IM Medication,0.553521
Administer IM Medication,Bagging,0.52339
Administer IM Medication,Administer IM Medication,0.667937
Administer IM Medication,Combat Tourniquet,0.824839
Administer IM Medication,Bagging,0.539589
Administer IM Medication,Chest-Tube,0.405731
Administer IM Medication,Administer IM Medication,0.397102
Administer IM Medication,ECG Leads,0.37998
Administer IM Medication,Bagging,0.272142
Administer IM Medication,Bagging,0.210213
Administer IM Medication,Administer IM Medication,0.989295
Administer IM Medication,Bagging,0.227259
Administer IM Medication,CPR,0.998336
Administer IM Medication,Chest-Tube,0.342111
Administer IM Medication,Bagging,0.938975
Administer IM Medication,Administer IO Medication,0.299308
Administer IM Medication,Bagging,0.371654
Administer IM Medication,Administer IM Medication,0.62742
Administer IM Medication,CPR,0.813831
Administer IM Medication,ECG Leads,0.674038
Administer IM Medication,CPR,0.249139
Administer IM Medication,Chest-Tube,0.312166
Administer IM Medication,Bagging,0.977456
Administer IM Medication,Bagging,0.472993
Administer IM Medication,Administer IO Medication,0.350386
Administer IM Medication,Chest-Tube,0.356905
Administer IM Medication,Bagging,0.435181
Administer IM Medication,Bagging,0.379518
Administer IM Medication,Combat Tourniquet,0.319438
Administer IM Medication,Administer IO Medication,0.514885
Administer IM Medication,Administer IM Medication,0.479691
Administer IM Medication,Chest-Tube,0.528616
Administer IM Medication,ECG Leads,0.831593
Administer IM Medication,Chest-Tube,0.802844
Administer IM Medication,Chest-Tube,0.651483
Administer IM Medication,Bagging,0.4273
Administer IM Medication,Administer IM Medication,0.796518
Administer IM Medication,CPR,0.515469
Administer IM Medication,Bagging,0.371349
